gene	EPI_E5	PE_E5	EPI_E6	PE_E6	EPI_E7	PE_E7
TSPAN17	0.9	3.4	1.1	1.4	1.2	3
MT1F	70.8	30.9	21.6	6.4	27	15.4
CHMP7	7	8.6	6.8	13.6	14.3	21.4
FSTL1	1.9	4.2	4	5.9	5.4	3.5
SAMD10	0.1	0	0	0.2	0.1	0.3
LYZ	14.4	9.2	8.7	3.7	0.6	0.6
PTRH1	17.7	12.4	14.7	4.1	15.7	7.3
DUSP14	80.2	64.7	61.6	74.8	64.4	49.6
TP53INP2	6.3	3.6	4.6	2	1.8	2.2
LMO4	25	17.7	24	10.3	12.7	12.8
TMEM52B	0.4	0.9	1.1	7.8	6.5	4.5
TRIP4	16.9	28.6	17.1	36.5	28.2	27.6
ZDHHC23	2.2	1.2	2.8	1.3	1.4	0.8
MAPK8IP2	1.7	0.2	0.1	0.1	0.2	0.3
MPC2	25.2	23.6	26.3	11.9	15.4	7.2
GEMIN2	44.4	36.1	38.7	30.5	41.2	30.3
IAH1	11.5	20.1	21	20.3	17.4	25.7
DDHD1	4.8	7.8	6.2	4.6	4.3	6.4
TMX4	15	18.7	13.5	4.4	5.6	9.8
SELT	133.1	229.3	86.1	113.4	65.2	84
CHST8	4.1	2.3	8.1	1.2	6.6	1.2
GPX1	354.4	342.4	341.2	132.3	239.6	175.6
TNS1	0.2	0.1	0.1	0.5	0.1	0.2
APOA5	0	0.1	0.1	0.5	0.3	2
DCAF5	6.6	5.8	2	4.6	2.2	5.3
DSC2	23.7	19.2	15.1	20.6	33.7	42.3
ZNF143	9.6	20.4	16.9	37.1	39	36.6
FADS1	0.8	1.1	4.5	16.8	18.6	24.3
DAZL	0	0.7	0.6	0.1	0.7	1.6
LAMP1	18.8	12.3	29.8	20	19.5	26.3
MLLT3	2.7	3	3.2	0.3	1.1	0.6
LAMB2	0.3	1.1	3.3	3	1.9	0.9
RHOT1	5.2	3.7	6	3.1	3.1	6.3
CHST9	0.9	2.6	2	0.7	0.5	1.8
ANKRD36B	0.4	0.2	0.7	0.3	0.8	0.4
FAM228A	2	0.4	0.5	0.2	0.1	0
SYTL4	3.4	0.8	1	0.3	0.5	0.5
MSANTD2	5	1.5	5.8	3.4	5.4	3.1
TM4SF1	0.5	0.2	0.9	1.4	0.6	1.9
PRSS3	58.6	61.2	14.8	2.3	0	0.8
GPT2	9.1	4.2	16.2	15.1	19.6	23.9
NANOS1	3.3	1.6	3	2.1	2.4	1.2
SCNN1A	8.3	12.1	11.9	2	7.2	2.7
ERP27	0	0.3	0.3	1.3	3.7	2.6
TBPL2	2.1	1	1.2	0.7	0.9	0.1
LOC100506476	0	0.3	0	0	0	0.3
ZMAT3	8.1	4.2	2.9	4.4	3.1	3.7
LMOD3	8.2	2.6	0.1	0.2	0.3	0.7
CELF2	0.7	0.4	0.9	0.6	0.9	0.4
KDELC2	0.7	0.8	1	2.8	1.6	6
DUSP7	14.9	6.9	10.3	7.7	9.8	7.1
CCKBR	0.6	3	30.9	107.1	255.3	254.2
ABRACL	94	75.2	120.3	82.3	110.8	70.2
CREB3L2	1.3	1.3	1.5	5.3	6.7	11.8
SLC25A28	17.5	9.7	14.6	9.8	10.5	6.9
RPS4X	1213.8	1063.7	1393.3	1056.4	1287.4	1132.7
AZIN2	1.4	3.5	3.6	1.9	1.4	2.3
C2orf80	0.8	0.1	0.7	0.2	1.5	0.6
PLSCR4	4.3	2.3	3.1	0.8	1.5	1.3
CCDC112	1.1	0.5	2.8	0.9	2.4	1.5
ALS2CL	0	0	0.4	0.4	1.2	0.3
PAXIP1	17	12.9	13.2	8.7	10.1	6.9
TMEM184C	11.7	19.9	11.1	24.1	16	15.8
AKT1S1	17.1	13.5	27.2	14	26.5	43.4
ADAMTS4	1	0.8	2.3	0.3	3.3	1
KLC1	12.5	9.2	9.2	6	14.4	21.7
TMEM108	2.2	1.2	1.2	0.6	2.4	1.2
NACC2	1	0.6	1	0.2	0.6	0.6
VWA1	8.8	5.2	15.2	5	9	9.4
LOC101060498	0.3	0.1	0.3	0.2	0	0.2
PDF	7.2	8	16.3	2.6	5.4	12.6
PAK2	16	12.9	19.9	13.9	16.8	14.1
LYPD6B	2.9	3.3	3	9	1.5	11.6
FOS	16.5	28.2	12.8	14.4	29	74
RNF103	3.1	0.8	3	6.8	6.1	8.8
ZBTB7A	2.6	1	1.9	1.6	1.1	1.8
FAM65B	0.9	0.7	0.4	1.4	2.7	8.6
E2F1	15.5	9.7	12.8	8.3	10.9	6
YPEL5	26.4	40.6	26.1	36.4	46.7	59.1
YBX3	38.5	24.3	29	16.9	29	25.2
CD72	0	0.1	0.1	0.1	0.6	0
FAM124B	0.7	0.2	3.5	0.8	1.9	0.2
CLDN6	74.7	52.2	228	64.7	76	97
TPST2	98.3	131.8	125.2	112	104.6	265.8
FA2H	10.3	4.5	5.8	2.4	2.6	2
RET	7.5	3.6	2.3	0.4	0.5	0.6
ARHGAP22	0	0.1	2.3	0.1	0.3	0.3
HOOK3	4.3	3.3	3.7	3.2	3.3	4.7
TMEM8A	16.1	10.1	16.2	6.8	8.8	8.5
JAK1	9.7	6.1	11.6	6.5	9	7.1
LRP10	12	5.3	14.1	4.2	14.2	14.9
BST2	1.5	5.3	4.6	0.4	1.9	0
PLXNB1	0.1	0.5	1.5	3.2	3	3.6
SPTB	1.2	2.3	0.8	0.4	1	0.5
DOHH	6.7	4	9.2	4.8	24.7	45.6
USP1	39.4	29.3	36.8	34.8	40.6	28.8
ATF7IP2	1.5	1.4	2.4	6.4	3.2	6.4
SLC7A5P1	0.5	0.2	2.7	0.7	0.7	8.3
UNC119	25.4	13.8	30.3	7.4	18.8	18.9
PCGF6	15.9	11.4	15.3	13.8	23.6	15.4
PCSK1	0	0.1	0.4	0.5	2.6	0.1
ZNF250	0.8	1.5	1.3	0.4	0.5	0.8
NOD1	0.9	0.1	0.9	0.6	1.1	0.5
RPP25	26.4	19.9	50.6	19	36.2	28.8
SLC4A5	2.2	1.4	2.9	5	2.3	3.5
REXO1	5.1	3.3	5.1	3.9	2.9	6
MUCL1	0.4	0	0.1	0	1.5	4.8
RBPMS	30.5	15	47	17.8	29.4	25.7
TAB1	6.9	3.8	4.4	1.9	2	3.8
RTN4	45.1	44	74.1	51.9	46.7	55.2
MSI1	3.4	4.5	2.9	6.9	1.6	5.6
RUFY3	12.6	20.1	12.7	13	7.6	11.8
RAC1	44.6	28.2	52.2	40.5	46.6	60.1
F11R	156.8	141.2	126.6	113.5	175	121.8
ABTB2	7.3	5.4	6.5	4.2	5.3	7.2
GLTP	4.8	7.4	6.5	12.2	7.4	5.9
FAM46C	2.1	0.8	2.3	1.1	1.7	0.7
GTF3C6	102.2	162.3	93.8	125.2	110	140.8
RCOR3	15.3	26.6	9.4	8.7	7.8	11.8
MRGPRX1	1.5	0.6	4.9	43.4	114	78.5
ZFYVE1	25.6	11.4	6.6	4.9	3.5	5.3
MAP4K2	6.1	2.5	4.6	3.4	5.2	5.7
CCNO	2.6	1.2	3.2	1.7	5.7	2.6
EGR2	0	0.8	0.1	2.1	0.6	4.6
HDAC7	3.4	4.1	6.1	2	2.3	6
DBI	565.3	1025.3	943.6	1033.4	522.6	814.8
AP2M1	500.7	488.9	446.4	284.6	411.2	266.2
PIGX	4.3	3	5.9	1.6	2.4	2.8
MAST2	28	15	14.5	6.9	9	8.5
PTPN23	5.6	3.3	3.7	2.4	3.4	4.6
PHACTR1	0.9	1	4.7	1	1.8	0.3
TBX3	33.1	42.3	22.2	23.8	17.7	37.8
GUCA2A	0	0.1	22.2	6.1	0.7	16.3
REL	2.8	1.9	2.6	2.2	3.6	2.1
TFRC	28.5	35.3	55.8	119.8	61.2	80
STRA6	0	0.2	2.8	4.4	7.9	5.3
ENHO	5	0.7	2.7	0.2	0.8	0.4
ANKRD20A19P	0	0	0.4	1	0.9	1.4
CASP3	28.5	40.6	34.4	46.4	35.3	27.3
TAGLN	5.6	2.3	5.5	9.6	2.9	5.5
SLC4A8	13.6	16.9	14.9	10.1	6.4	14
GFM2	12	18.4	17.4	20.7	12.7	19.6
PDXP	11.4	6.6	10.2	8.2	10.8	4
LY6E	80	70.8	242.4	135.8	170.5	63.9
STRADA	9.1	6	5.6	5.4	5.4	2.5
PIGH	13	21.9	19.3	43.2	32.9	36
APOBEC3B-AS1	0.3	0.9	4.5	1	6.2	0.2
NUDT4	22.6	9.2	16	10.9	6.3	5.3
NUDT8	5.1	7.3	10.2	1.4	6.9	2.8
COL21A1	0.2	1.6	0.8	4	6.3	7.6
ZSCAN2	9.3	8.7	19.2	9	25.8	7.9
SH3BP4	9.8	13.4	9.1	8.4	6.3	12.2
EFR3B	12.8	10.7	15.1	6.4	10.1	4.2
ZNF292	5.7	3.2	10.3	8.9	10.2	16.2
LRRN1	0	1.1	1	0.6	2.1	1
SMARCAD1	21.9	15.4	26	27.2	22.1	15.7
ORAI3	1.2	0.1	0.3	1.1	0.5	0.2
PRELID2	0.4	0.7	0.3	0.1	0.2	0.3
FAR2	0	0	0	0.5	0.2	2.8
EPB41L3	3.8	3.1	5.5	12.7	6.2	10.4
LYPD1	0.2	0	3.1	0.7	4.4	2.3
GAMT	8.5	3.2	3.4	6.5	4.9	9
C5orf60	0.5	0	0.2	0.1	0.2	0
NPNT	0.1	0.2	0.8	3.2	0.7	2.3
SSBP4	4.3	1	3.3	1.3	1.1	1.3
HMGN4	45.1	33.6	32.9	46.9	60.6	53.8
JADE1	9.4	14.9	14.4	20.4	20.1	26.3
ODF2L	1	2.7	1.9	4	4.8	6.9
ZNF414	1.7	0.8	2.3	0.6	1.3	1.2
PRKCQ-AS1	1	0.2	1.3	1.6	2	1.2
LOC101929715	0	0.3	0.1	0	0.1	0.5
MUC15	0.6	0.9	0.8	9.6	29	41.9
DVL2	17.2	10.9	19.6	7.4	13.9	12
CCM2L	1.3	0.3	1.1	0.2	0.4	0.1
LOC101926895	0.3	0	0.4	0.2	0.7	0.1
FOXH1	50.4	44.8	76.4	21.5	46.1	35.6
C3	0.1	0	0.1	0	0.2	0
CDC42EP3	1.8	0.9	3	1.9	8.1	5.8
HYOU1	83.7	56.7	68.7	41	57	51.1
ULK2	2.7	1.5	2.3	1.5	0.6	0.7
DDX47	58.4	78.7	68.9	121.6	74.1	97.8
HSPA1L	0.3	0	0.2	2	0.3	0.6
LOC728819	1.4	1.5	0.3	0	0	1
NLGN1	0.2	0	0.2	0.1	0.1	0
ATP7A	1.9	3	0.7	1.7	0.6	2.3
DEFB122	28	18.3	15.2	3.5	6.7	3.7
CECR1	6.8	6	6.6	2	3.2	0.9
BCL11A	4.7	4.4	5.9	1.8	5.9	2
LOC440311	3	2.3	5	1.1	1.9	4.1
CAMK2A	0.2	0	0	0	0	0
DDX3Y	8.9	14.8	2.8	14.5	16.1	14.2
TPPP	2.5	0.6	0.3	0.3	0.1	0.4
SMKR1	0.5	0.1	0.2	0	0.3	0
KCNE1L	0.6	0	0.2	0.1	0	0.2
UAP1L1	22.6	14.8	12.2	8.3	3.7	5.7
MAP7D3	11.3	7.8	6.3	7.7	5.7	9.8
FBXW4P1	1.9	1.1	2.2	1.1	0.6	1.4
CSNK1G2-AS1	0.9	0	0.3	0.3	0.2	0
EDN1	1	0	0.8	0.1	0.4	0.3
NEK2	27.4	38.4	19.1	16.6	13.6	28.9
EGF	0	0	0	0.1	0	0.2
SP6	2.6	2.5	7.9	26.3	41.9	63
TXN	782.1	1084.7	695.5	978.3	585.6	1071.4
CBLB	7	8	7.5	29.2	39.6	51.9
VAC14-AS1	1	0.1	0.1	0.3	0.1	1.3
SGMS2	0.2	0	0	0	0	0
CCZ1	3.2	2	4.1	2.4	3.8	2.7
SMU1	8.5	12	10.9	18.2	12.5	14.7
CELSR2	0.8	0.9	1.9	0.6	2.7	1.2
FOLR1	51	79.8	116.5	244.1	118.2	128.1
DNMT3L	2635.6	2052.9	1757	1296.2	937.1	557.5
ADM5	4.3	1.3	4	5.2	2.8	3.9
C1orf64	26.3	5.1	2.1	0	3.5	1.9
ELAVL2	0.1	0.5	0.5	0.8	0.7	0.4
PEMT	169.7	146.5	140.3	62.2	60.9	37.9
LINC00948	9.2	2.8	1.8	1.7	2.5	4.8
KDM4A	8.7	6.9	14.7	9.1	15	6.6
PIP4K2C	23.6	34.8	22.9	27.2	22.8	29.4
ADIRF	0.2	0	0.1	0	0	0.9
ACSL6	0	0.2	1.5	3.1	0.6	0.2
MRPL57	139.1	103.7	126.8	97.8	102.9	90.8
WDR16	0.7	0	0.1	0	0	0.1
SPIC	44.4	34.6	10.1	1.3	3.7	1.1
HNRNPUL2	4.7	2.7	4.3	2.6	1.3	3.6
NUDT15	34.9	33.6	91.9	57.4	93.2	48.2
SNAR-F	52.1	72.9	12.8	99.5	45.6	73.7
GPC3	12.4	11.4	7.8	29.8	17.5	45.1
FTH1	740.1	823	615.1	326.4	589.1	404.2
MEIG1	0.4	0	0.5	0.2	0.5	0.1
TRIB2	0.3	0.3	3.8	0.8	2.4	0.8
DHX58	0.9	0	0.4	1.9	0.9	1.4
NAGA	27.7	27.3	20.2	10.8	13.1	4.4
EPO	0.8	0.1	1.2	2.6	2.7	2.4
COL6A2	2	0.7	1.1	0.5	0.6	0.7
DENND2D	1.1	2.4	0.6	1.9	3.9	3.7
MAL	7.7	5.1	11.8	0.9	1.2	0.2
AICDA	7.9	4.8	2.3	0.7	0.1	0.9
CA2	161.3	226.3	161.3	269.4	122.4	204
TMEM261	92.3	81.2	73.8	53.3	50.3	36.8
VCX3A	7.6	4.1	13.4	2	1.2	1
AIRE	5.3	2.6	6.5	0.4	2.1	1.5
ZNF627	1.3	2	1.6	2	1	3.1
ARHGAP39	0.9	0.4	1	0.4	0.4	0.8
WRB	11.4	18.6	17.4	36	22.4	19.9
GMPPB	19.4	13.7	18.1	8.9	29	37.6
BTBD3	4.1	6.5	4.7	8.4	4.7	6.7
FBLN1	11.8	9.9	32.7	12.3	75.2	44.9
WDR6	20.5	13.2	27.7	22.6	34.6	19.2
HAS2	12.9	34.6	8.8	4.6	6.2	7.4
OSMR	2.1	1.1	3.3	0.8	2.1	3
PLEKHA3	6.2	2.5	4.8	2.2	4.1	2.4
PTPLB	4.5	2.7	5.2	6.7	5.4	12.4
ZNF90	31.6	24.6	26.3	18.2	19	13.8
MRS2	184.2	192.7	165.8	108.4	137.2	71
HINT3	5.3	8.6	7.1	11.4	9.5	12.5
TDRD7	1	1.8	2.3	0.3	0.6	1.6
CASP2	12	20.4	12	29.1	12.9	14.6
F3	23.2	45.8	30.1	28.3	50.7	34.1
LRRC41	27.5	42.5	36.1	23.6	40.4	30.5
EGFLAM	14.1	14.8	9.3	7.5	2.8	8.7
UBA1	76.2	50.6	70.4	62.1	57.7	69.8
IFNAR1	2.7	4.7	3.8	5.7	2.2	2.9
DEPDC1B	9.4	15.3	7.8	14.3	17.7	24.3
BACE1	6.6	5.4	2.7	1.3	0.9	2
NF2	71.8	63.5	57.8	42	45.8	20.8
NOTCH1	0.7	0.6	1.3	0.2	0.9	0.2
COX7B2	147	126.2	138.4	206.6	118.1	156
BMF	0.4	1.3	0.7	1	1.3	2.5
CCL26	1.1	1	17.2	7.3	18.8	3.6
TPTEP1	18.5	16.2	44.5	16.9	16.5	29.8
PPP2R3C	38.8	29.6	32.2	37.9	39.1	31.3
CACNB2	1.1	2.7	2.7	5.4	0.8	1.2
LOC100506790	46.6	51.6	74	16.9	26.5	4.7
GSG1	0.9	0	0.1	0.1	0.1	0
SGMS1	5.7	9	6.9	11.5	14	18.6
AP1M1	11.9	15.5	13.7	20.5	19.2	25.3
POPDC3	0.6	0	0.6	0.4	0.4	0.1
FGF1	3	1.3	0.7	0	0.1	0.3
ESCO1	21	18.2	18.7	15.8	20.2	16.4
HMGA1	443.7	349.5	480.1	307.4	525	491.3
COPB2	44.9	66.5	48.7	77.7	63.5	80.3
POU6F1	0.8	0.2	1.6	0.4	1	0.8
SEPT11	83.8	75.9	42.6	30.9	33.2	61.5
LINC00938	2	5.7	2.8	3.2	3.7	6.5
TUBB3	60	55.3	93	33	71.2	55.1
ERICH2	2.7	4.1	2.2	2.2	0.9	7.8
ANGEL1	9.8	6.5	4.1	3.5	6	2.6
SYNE2	23.6	11.6	13.4	11.6	17.6	9.2
BORA	10.6	18.9	11.6	18.3	10.3	12.9
S100A13	1243.5	1677.6	2212.7	1353.4	789.3	1264.8
CRNDE	1.8	1.9	3.5	2.5	0.3	4
ZNF714	2.8	6.9	6.6	8.9	9.3	6.5
JMY	9.4	5.2	4.6	5.7	3.7	5.4
ZBTB26	1.2	0.3	1.1	1	0.9	3
CSRNP2	5.1	3.6	5.1	6.5	5.4	6.6
FABP3	54.1	127.7	364.5	512.7	119.4	93.5
SLC25A47	0.1	0.1	0.3	0	0	0.1
CHAF1A	27.4	18.4	20.8	15.8	13.4	17.1
B4GALT1	72.8	91.8	50.9	112.1	63	104.7
DUSP5	12.9	6.6	10.5	12.3	26.2	40.8
TMEM138	17.6	21.3	19.2	34.3	37.4	32
POU4F1	2.1	0.6	0.5	0.3	0.1	0.6
LAMA4	30.4	49.5	13.8	3.1	6.5	4.6
GTF2IRD1	1.9	0.9	2.3	1.1	0.8	1.4
IRF4	0.3	0.1	0.5	0	0.4	0
RAD51	165.2	145.2	127.9	76.3	103.9	62.7
XRCC3	4.2	2.7	8.1	4	7	5.8
ZNF729	6.1	12.1	5.5	2.6	4.5	1.5
CRELD1	15.9	12.8	13.6	5.6	9.4	5.2
GLI4	1.6	0.3	1.3	0.3	0.1	0.5
LSM14B	3.3	1.9	3.5	1.5	2.2	2.1
LMX1B	0.2	0.1	0.1	0.4	0.3	0.4
RSRP1	33.4	43.8	23	48.3	28.7	52
RFPL4B	4.8	11	8.4	12.4	31.1	41.9
GEMIN5	10.5	6.1	9.7	11.2	11.9	5.5
BIN2	2.1	1.4	5.7	9.9	10.2	23.2
BOLA3-AS1	3.7	1	2.4	3.1	3.7	2.7
CHGA	13.5	17.4	35.7	4.8	1.3	3.8
ZNF75D	10.8	7	6.7	2.5	5.8	2
CLCN7	2.9	1.5	5.7	1.8	3.1	4.7
PDIA3	31.1	57	66.1	126.6	117.6	122.5
SNAP25	0.2	0.4	0.7	0.2	0.9	0.3
SIGIRR	26.5	25.8	38.9	23.7	40.2	20.9
CALM3	201.5	182.1	152.6	77.5	62.2	99.1
ABCB4	0.1	0	0	0	0	0
GMIP	1	0.3	1.7	1	2.1	1.4
FBXO3	4.6	6.1	6	13.4	8.1	9.2
TMEM164	5.5	7.9	8.5	10.9	3.9	5.4
OR52N4	0	0.3	1.3	0.4	0.5	1.4
C1orf131	49.8	67.1	37.3	52.5	38.2	49.2
DNTT	0.4	0.7	1.2	0	0.3	0
BTK	3	7.5	2.3	2.5	0.8	4.5
ASB2	0.5	0.1	0.1	0	0.1	0
INO80D	4.3	2.7	3.1	3.1	3.6	2.7
RRBP1	74.7	55.9	42.2	47.6	38.8	55.1
S100A10	337.9	427.1	665.9	807	474.9	1097.7
HRASLS5	11.2	17.8	5.8	6.2	1.4	2.7
C9orf171	0.3	0	0	0.3	0	0
GBA2	10.2	13.1	12.1	12.5	9	11.8
SRP68	46.8	32.9	38.7	27.1	35.2	44.5
LILRA6	0.5	0	0.8	0.1	0.4	0.9
HSF2BP	1.6	2.8	0.8	1.8	0.4	3.7
MARK1	4.8	2.7	3.8	2.8	2.2	1.5
PEX3	10.4	19.8	14.6	31.5	12.8	13
PTPRJ	2.2	2.2	2.2	1.1	0.8	2.6
TK2	2.1	1.1	1	0.5	0.8	0.3
RAB3A	1.2	0.6	2.6	1	1.8	0
TTYH1	3	1.1	3.9	1.2	1.8	0.7
FZD4	2.5	3.3	2	3.7	0.7	2.4
PANX2	0.4	0.1	0.2	0.1	0.1	0.6
ZNF408	24.5	18.6	25.8	13.4	19.3	14
CLEC2L	2.1	0.7	3.4	1.1	1.2	2.5
C19orf67	0.1	0	0	0	0	0.5
ARL5A	29.3	19.8	23.3	25.1	30.1	41
GPR126	0.6	1.2	0.8	1.6	0.6	1
TOX2	0.3	0	0.7	0.1	0.7	0
CST3	43.3	37.3	67.8	32.5	51	82.9
HOXD1	1.7	6.2	5.5	0.4	0.4	0.4
H2AFY2	8.3	13.5	6.6	4.7	5.4	15.5
LHFPL3	1.1	0.5	1	1.1	0.4	1.1
PGRMC2	8.8	5.2	6.6	7.2	12.4	19.6
ST3GAL1	25.3	33.9	13.4	16.7	11.4	27.6
ADAM18	13.7	7.8	8.9	8.9	11.8	4.3
AGMO	0.1	0	0	0	0	0.1
U2AF1L4	30.1	27.8	40.8	22.3	39.1	14.6
EMC3-AS1	3.5	1.9	2.1	4.6	3.2	4.4
FAM220A	5.9	2.4	4.8	3.5	7.5	5
ANKRD28	7.5	5.2	6.8	3.6	3.6	2.8
CMTM7	53.7	63	34.7	35.6	22	63.8
TET2	16.1	24.4	13.2	23.7	13.1	16.7
ADK	9.6	14.3	19	38.9	32.8	39.2
GAL	16.3	11.9	23.1	9.4	57.7	21.1
MS4A15	23.7	9.8	9.1	4.3	5.1	4.2
FUOM	60.5	86.7	60.6	44.8	20.6	32.7
ZNF556	0	0.3	0.2	0.4	0.1	0
CMTR2	1.3	2.3	2.1	3.1	3.9	1.9
RXRA	1.4	0.9	1.1	5.3	5.5	9.1
CACNA1H	0.1	0	0.2	0	0	0
PARP3	0.8	0.3	0.8	0.3	0.3	0.4
DNAJB2	6.2	3.4	6.8	4.4	4.4	5.8
PRRG1	1.4	3.9	1.6	3.6	2.5	2.9
LINC00678	15.8	7.2	9.8	1.9	5.4	5
FBLN5	0.1	0.4	0.5	0.1	0.4	0
GMPR	0.2	0.5	3.3	0.2	2.2	0.3
C5orf47	0	0.4	0.5	0	0.2	0.3
VHL	9.6	6.4	11.7	8.9	9.7	12.1
HCAR2	0.8	1.2	2.5	0.5	2.5	0.6
TMEM132C	0.8	0.5	1.3	0.1	0.7	0.3
PELP1	15.8	9.2	13.3	10.7	12.1	13.9
TAP1	0.2	0.9	0	0.1	0.3	0
VPS37C	15.8	8.9	14.5	8.6	11.7	10.7
TNFRSF1A	26.3	18.9	20	7.6	18	17.8
LRTM1	0.6	0.4	1.5	0.2	0.6	0
KCTD9	3.4	2.8	2.7	5.6	3.9	4.8
HLA-DPB2	0.6	0.4	3.3	0.8	1.7	0.1
SLC38A8	0	0.3	0.1	0	0	0.5
ARF5	186.2	160.2	190.9	129.5	180.7	157.9
EIF4E1B	0.8	0.2	0	0.1	0.2	0.3
S1PR5	0.2	0	0.6	0	0.7	0.3
LRRTM4	1	0.2	0.6	0.2	0.1	0.2
KATNB1	16.5	10.2	15.6	8.5	11.2	5.1
LOC101929633	1.3	0	0.1	0.1	1	0.7
MOCS1	2.6	3.4	4.6	2	6.4	2.3
TRAF4	27	18	51.8	21.9	33.8	34.7
SLC7A2	12.1	18.4	24.8	60.3	38.4	42.3
ADORA3	2	4.2	2.5	0.3	0.2	0.6
PABPN1L	0.7	0	0	0.1	0	0.1
C1orf162	5.4	2.3	0.6	1.4	0.2	0.8
RARB	0.2	0.7	0	0.1	0	0.1
ACRC	1.8	2.7	1.2	2.4	0.6	2
ABCA3	1.3	0.4	0.1	0	0	0.1
RND2	12.4	10.7	13.2	5.2	9.3	6
POLR3G	5	6.2	6.9	12.2	11.9	4.9
N4BP3	5.6	4.6	4.7	1	4.7	3.2
MYO7A	0.3	0	1	1.1	2.5	1.8
LOC101928530	0.9	0	0.1	0.1	0.9	0.4
HYAL1	5.1	3.9	6.6	5.6	4.1	14.2
SLAIN2	13.5	9.8	13.9	5.9	10	9.6
ELK3	4.4	2.9	4.9	1.1	3.5	2.2
LSS	16.4	24.7	21.6	27.2	10.2	14.5
CENPB	4.6	3.1	5.7	4.4	4.4	6.3
GLS2	3	3.5	2.6	1.4	4.7	0.8
RASIP1	0.5	0	1.3	0.6	0.3	0.3
SLC39A8	0.3	0.2	2.1	0.5	2.9	0.9
PLEKHG6	4.3	1	2.3	0.6	3.8	3.2
CMTM8	3	1	4.6	3.3	3.8	7.1
EHHADH	2.2	4.3	1.1	0.9	0.5	1.2
C1QTNF9	0.9	1.9	1	0.2	0.3	2.4
TCF25	79.2	60.2	65.8	44	45.6	36.3
ZNRF1	6.7	3.5	6.6	6.6	6.2	8.6
SPATA7	4.5	2.2	2.7	1.4	3.2	2.3
MX1	159.8	170.8	113.4	53.7	38.5	62.9
DDRGK1	37	25	34.3	24.5	50.6	69.7
ASCL2	0.2	0	0.1	0	0.1	0
TBCB	127.2	139.9	152	80.9	153.1	104.8
ZNF770	11.8	8.8	9.3	8	13.4	7.5
TAF9B	3.6	5.5	3.9	7.2	4.8	7.8
ECI2	6.4	17	18.6	39.9	18.1	17.6
AGL	93.1	97.1	84.6	56.9	63	39.7
PGM3	17.1	28.4	19.7	40	33.8	39.8
BCORL1	1.9	1	3.1	2.4	1.2	2.8
PPM1H	6	1.2	4.3	2.2	1.4	1
MOGAT3	4.6	3.4	6.1	0.7	2.7	0.8
REM1	6.5	5.6	2.2	0.3	2.6	0.1
LINC00967	0.1	0	0	0.1	1.1	0.2
ENC1	0	0	1.1	1.6	1	6.8
CNTNAP2	0.1	0	0.4	1.3	2.4	2.3
TET3	4	2.5	1.9	3.7	2.7	2.5
MYO9A	8.7	9	5.6	5	5.1	11
EEF2K	2	1.2	2.6	3.2	3.2	1.9
HMGA2	0	0	1.3	0.2	1.2	0.6
VWA5A	11	25.2	2.6	8.9	1.6	2.7
AIM1	1.5	0.3	2.3	1.3	5.1	4.3
KCTD20	2	2.2	3.4	7.4	4.9	9
MAMSTR	0.8	0.9	1.1	0.2	0.2	0.8
RNF126	40.8	33.4	54.6	22	36.8	50
MICA	2.7	3.8	4.6	1.3	8.2	1.3
FAM213A	39.4	63.5	60.2	80.4	46	56.7
DBN1	43.1	43.5	39.1	17.9	28.8	16.7
NACAD	0.8	0.2	2.2	0.7	1.9	0.5
ACOX3	2.3	6.1	2.7	2.9	3.9	5.4
CD300LF	0.9	0.6	0.9	1.4	0	1
FAM160A1	4.6	2.8	2.4	1.2	2	2.4
CERS1.uid_22888	1.6	0.1	0.8	0.2	1.9	0.6
CLPSL1	7	2.3	3.9	4.5	4	0.1
PLTP	50	70.2	104.6	98.1	69.6	111.9
ACTB	3856.6	4583	3634	4281.8	4704.2	4207.1
PVR	12.8	17.5	10.2	8.6	7.5	10.6
P2RX5	3.7	6.2	12.9	0.9	3.2	1.3
LINC00668	8.5	7.9	13	37	23.2	33.6
ASS1	7.4	12.2	20.2	25.8	21	13.4
PANK3	20.7	17.1	17	13.4	10.9	13.2
LOC101927230	2	3.3	0.9	5.7	0	1.7
SAP30	5.2	2.8	6.5	4.6	3.1	5.3
PDGFRL	0.7	0.1	0.5	1.3	0.9	0.2
SNORD116-26	15.4	14.4	12.8	5.2	14.1	23
PRRT3-AS1	1.5	1	1.6	0.4	2.1	0
WDR60	4.3	2.7	2.4	1.5	1.9	2.5
GLTPD2	3.8	2.1	7.2	0.2	0.1	0.5
HNRNPD	122.1	85.3	152.2	146.5	102.9	133.4
DNAJB6	43.5	45.3	84.6	57.9	90.6	49.9
HDAC9	0.4	0	0.3	0.1	0.6	0.3
LOC100506655	2.2	1.4	4.6	16.7	31.4	51.5
PTENP1-AS	0.3	0	0.1	0	0.1	0.1
MAFG-AS1	0.5	0	0.1	0.9	1.6	2.3
JARID2	29.8	23.3	35.2	16.3	28.6	20.8
ACVRL1	2.1	0.9	1.7	0.1	0.3	0.2
RFC1	11.7	19.2	11.8	18	15.7	18.1
CYP19A1	0.1	0.4	1.4	13.2	58	63.1
XPO1	44.4	35.5	63.7	58.5	59.4	47.4
TBC1D5	7	4.4	3.9	3.4	4.2	5.7
KLHDC9	3.1	1.1	2	0.5	1.4	0.5
