gene	TE_E5	TE_E6	TE_E7
THOC2	30.9	41.2	31.3
FAM73A	4.4	5.9	6.9
CCZ1	1.9	2.5	2.7
RCN2	22.8	36.8	47.3
SYT13	0.1	0.1	0.2
MIR6758	39	39.8	31.9
FAM45B.uid_12498	5.9	3	2.5
USH1C	0	0.5	1.1
UGT3A1	0.1	0.2	0.5
ADAMTSL5	2.3	1.2	1.3
C18orf8	22.9	24	27.1
CERCAM	1	3.3	3.3
SECISBP2	15	12.4	10.9
TMEM14C	67.8	58.5	54.5
PRKD3	3.6	3.6	4.2
COX7B2	138.8	223.2	171.1
C1orf216	2.1	3.2	3.1
PWAR5	0.7	0.6	0.3
DTL	24.4	21.8	19.7
ATP2A1	1	0.6	0.5
SAP18	178.6	193.9	198.3
TBC1D8	3.5	3.1	4.2
TACO1	26.4	16.8	13.1
ASTN2	16.6	6.9	3.2
ZNF91	2.6	3.8	3.8
TRMT1L	6.6	5.5	4.9
ITPKA	0.4	0.2	0.3
TNFAIP1	14.3	8.3	13.8
COMMD9	33	35.9	38.8
DTNA	0.1	0.2	0.2
TPPP3	0.4	1.7	0.7
SLC17A7	0.1	0.1	0.1
ZNF181	0.4	0.3	0.3
PAPSS1	10.4	11.2	14.7
SLFNL1-AS1	0.1	0.4	0.3
CD22	3.6	0.4	0.2
LINC00967	0.1	0.1	0.1
C1orf53	1.6	0.8	0.9
SQLE	136.6	136.5	89.9
SP100	0.2	0.5	0.3
RMND1	52.8	40.4	42.1
TAF8	3.7	6	6.3
COCH	1.4	11.1	14.7
RPL39L	64.8	61.5	60.9
TUFT1	23.5	15.5	24.8
ATP5H	164	206.2	195.6
BAG2	0.6	5.9	10.5
LOC101928844	0.3	0.1	0
TGM1	0.8	1.9	2.1
PCOLCE2	0.5	0.6	0.4
MSMO1	227.1	188.1	120.4
TMEM209	15.1	18.4	11.9
PTPRA	5.7	4.6	5
FARP1	9.5	7.5	4.8
ABHD17B	5	5.8	5.9
LHPP	6.9	4.7	2.8
HOXA1	0.7	0.7	0.9
AGFG1	7.1	6.8	7
ZNF687	1.3	2.6	2
GDF15	67.5	25.2	52.2
BPGM	7.7	14.3	28.1
C6orf48	239	188.3	172.1
LRBA	2.6	2.9	2.4
ABHD16A	11.4	10.3	15.2
NUMB	13.6	11.2	15.4
GOLPH3	26.2	41	38.3
MAFF	1.4	1.7	5.9
TMBIM6	262.1	304.1	322.8
VEZT	5	6.9	10
PRKCG	0.4	0.1	0.1
AGPS	4.4	8	7.9
MRPL23	64.2	56	38.1
LOC100129917	1.1	1.1	0.5
RNF43	0.4	3.3	5.2
ANKRD28	5.3	4.2	2.9
SEMA3B	0.4	0	0.1
PXN	17.9	25.8	30.6
NAP1L5	0.7	0.3	0.5
CBFA2T3	0	0	0.1
RAB7A	140.7	156.7	156.8
RLIM	7.8	7.8	4.9
CCER2	0	0.2	0.1
MORN3	1	0.8	4.5
LYRM7	5.1	8.2	5.7
FAM111B	1.6	1	0.6
RNF115	31.7	16.7	9.6
BOLA3-AS1	1.4	3.3	3.6
FAH	4.6	8.3	9.1
ACTG2	24.8	12.5	6.5
SIN3A	12.9	10.1	10
ADAM19	2	1.4	1.6
SRD5A3	8.2	14.1	3.4
PIH1D1	51.5	64.3	100.7
LOC101927720	8.7	3.5	4.8
DCLRE1C	4.5	6.5	5.9
ENG	0.6	0.3	1
GTF2H3	7.8	10	7.6
HPGD	44	40.5	18.8
ZNF239	0.7	1.7	1.7
B4GALT5	37.9	23.1	16.1
EIF4EBP1	393.2	292	254.2
PPP1R13L	7.4	8.1	10.3
PEAK1	1.6	2.8	3.6
GINS4	12.4	11.2	11.2
IRX2	3.3	11.4	16.4
MAP3K4	7.4	6.5	8.2
SULT4A1	0.1	0	0
EBF1	0.1	0	0
NAT6	6.4	5.2	4.9
GSTA4	7.2	14	12.9
TNKS1BP1	4.7	4.2	5
TOX2	0.4	0.1	0.1
SKA3	40.6	51.8	46.2
LOC101927151	6.8	5.2	7.1
LNX1	2.3	2.6	2.7
VCX3B	3	1	1.6
ABHD11	60.6	56.7	66.1
CCT5	225.9	292.7	297.6
DLEU1	18.6	26.4	18.5
TM4SF1-AS1	0.4	0.1	0
CYP2C18	0.8	1.4	3.3
LOC284379	0.1	1.1	5.4
LINC00174	0.4	0.5	0.4
THOC5	43	37	35
EIF4G2	346.8	429.8	505.2
TIMP3	0.5	0.5	0.6
HUWE1	42.7	36.9	26.5
PIGM	3.5	2.4	1.5
DNAJC5	11.7	12	10.5
KIAA1045	0.2	0.1	0.1
TMEM184B	8.3	8.8	10.8
RUNDC3A	0.6	0.1	0.3
SNHG7	39.2	42.1	35.2
NOS1AP	1.3	2.3	1.1
MOSPD1	22.2	17.1	12
DCUN1D2	3.8	6.2	5
BCLAF1	31.8	39.7	29.1
MAGED1	14.7	16	36.1
CNPY3	26.9	40.9	39.1
PDXP	7.1	7.6	6.5
FASTKD3	15.1	26.3	21.9
HNRNPL	46.2	63.5	70.8
COL9A3	6.9	3	3.4
ZNF77	4.1	4.8	2.2
DNMT3B	92.7	91.7	95
APPBP2	1.4	1.5	1.8
KLHL26	0.6	0.6	1.1
IDH3A	73.4	61.3	40.9
SNAR-E	2234.9	1525.9	1194.8
CCL5	0.3	0.5	0.4
ICK	5.9	6.9	6.7
TSEN54	46.8	49.3	38.2
HYPM	0.2	0.3	0.1
PHLPP1	4.8	3.8	4.9
PPP1R3B	12.6	9.1	5
RUSC1	25.3	32.8	39
NME1	676.2	1060.4	1019.6
PNPO	9.6	4.9	1.6
DSC2	15.7	21.9	38.2
ZNF788	2.8	3.6	2.8
FBXL21	0.3	3.1	6
ULBP2	0.1	0	0.1
SPTLC2	30.4	14.5	5.8
C6orf226	4.8	6	10.1
LOC100129203	0.4	0	0
OR8S1	0.2	0.3	0.2
CSAD	7	8.1	4.5
LOC100652758	0.5	0.3	0.4
FAM134A	8.6	9.2	9.1
PDLIM4	0.3	0.2	0.2
LUZP4	0.6	0.8	0.1
TINAGL1	0.7	5.2	17.1
PCGF3	10.9	12.5	13.8
NBEAL2	1.2	0.9	0.8
EFNA5	0.2	0.1	0.1
ZNF674	0.4	0.6	0.2
WSB1	79.5	91.2	117.6
FCHSD1	0.3	0.5	0.9
TRAM2	6.7	7.4	9.3
DUSP2	0.7	0.1	0.1
FOXK1	5.9	5.7	4.5
SLC6A19	52.2	27.2	19.5
CCDC173	1	1.2	1
NDUFAF3	54.5	26.3	23.2
SHROOM3	4.4	3.7	1.8
TOE1	44.8	47	45.8
ZDHHC11	1.6	7	4.3
LRG1	3.1	1.1	0.6
NIPA2	40.9	55.8	65.8
RAPGEF1	6.8	8.6	11.1
C14orf169	7.9	7.9	9.6
PLEKHA8	2.5	2.3	2.2
USF1	20.3	22	23.8
AMOTL1	0.9	0.9	1
RPN2	281.6	225.5	229.6
SKAP2	9.6	8.6	7.9
ECT2	15.6	18.4	20
COMMD3	41.5	56.2	45.3
NPHP4	1.2	0.5	0.7
MYZAP	0.6	0.2	0.5
KCTD11	0.4	0.7	1
CCDC86	79.3	95.4	113
C16orf72	10.9	13	10.1
ATRX	6.9	9.3	8
ACADSB	5.4	6.5	3.8
RAP2C	5.7	6.6	5.7
RALGDS	2.6	3.3	2.4
CTDSP2	8.4	6.7	6.8
LOC100288911	0.6	0.6	1.2
ATP11A	25.6	21.8	10.7
CCNA1	16.1	6.8	4.2
GNB1L	34.1	32.7	42
POLRMT	9.5	7.1	6.4
SGTA	96.9	111	115.9
CTH	16.9	47.2	52.2
SDC4	201.6	167	133.3
FAM184A	2.1	5.2	5.6
TRPM7	4.2	6.5	6.7
GPBP1L1	21.4	24.6	27.3
LOC100505984	0.1	0.1	0.1
PGBD1	4	2.3	0.8
AP1S3	1.5	1.5	0.9
JADE3	6.1	6.3	7.9
PATZ1	1.7	2.4	2.4
HIST1H2AI	0.5	6.4	1.4
PPY	0.3	0.5	0.9
CEP170	0.5	0.9	1
H2AFV	67	48.6	45.4
ABCD1	1	2.4	2.6
HECA	2.1	2.8	3.1
METTL3	19.9	31.9	44.3
ANKDD1B	0.9	0.6	0.3
ZNF333	0.6	0.9	0.9
HCN4	0	0	0
SPOCK3	0.3	0.1	0.1
ENC1	0	0.2	0.4
ZNF107	2.6	3.9	3.3
GDPD5	10.5	4.9	3.3
PLEKHA1	18.3	19.3	13.4
CHRNA5	1.2	1.1	1.6
KAT2B	1.1	1.9	2.9
CTDSPL	4.8	9.2	12.3
LGALS3BP	0.4	13.9	0.5
LOC100129550	0.5	1.3	1.2
GATA3-AS1	3.8	4.7	8.4
DNAJB13	0.2	0.1	0
MED12	6.8	5.7	4.5
DDAH2	7.1	6.4	14.7
MYO1C	13.7	14.3	17.3
ALDH3B2	0.1	0.3	1.3
CXorf65	16.1	11.7	6.4
YOD1	2.3	4.1	3.8
LOC554206	1	0.2	0.9
PIN4	63	51.6	43.6
VMA21	18.9	21.9	22.8
TMEM125	0.4	1.6	3.9
TPTE	2.6	2.5	2.7
ZFP62	1.5	4.3	3.7
ARID1B	3.1	2.9	3.5
TLN1	2.5	2.5	5.6
PCBD2	10.5	7.1	3.6
CLIC2	0.3	0.2	0.1
XIAP	4.6	5.7	4.8
TBL3	48.4	41.4	32.8
FKBP4	77.7	73	60
PSMC4	240.2	221.2	308.5
CAMK2N1	2.4	1.4	0.7
FTO	3.4	4.3	4.8
NCAPD3	7.5	7.6	8.9
CACNA1H	0.1	0	0
SLC2A5	0.7	0.2	0.2
WIPF3	2.5	1.5	0.5
PNPLA3	2	4.1	5.9
KDM5D	2.9	1.7	1.2
KIAA1191	17.4	20	20.9
B4GALT7	14.7	8.2	5.5
MIR6850	537.5	465.3	519.5
HIST1H4B	1.1	2.1	1.9
FLJ26850	0	0.1	0
OOSP2	8.3	0.8	0.8
LYPD3	32.1	33.6	36.7
RASGRP2	31	43.9	34.8
UBR2	7.8	8	8
RHBG	0.2	0.2	0.4
NDUFA1	928.3	1090.6	817.2
TAPBP	0.7	0.7	1
LOC101927027	1.3	1.7	1.3
LOC728752	0.3	0.3	0.9
NDUFB9	939.6	906.7	670.9
MCU	5.1	5.5	5.4
CDK5R1	0.6	1.7	1.6
PHACTR2	5.8	5.8	5.9
RAD54L	27.8	17.7	18.6
ATP7A	0.8	0.7	0.6
EML2	4.5	3.4	1.7
PDXK	23.9	22.8	13.3
PTTG1IP	147.7	143.6	125.6
HGD	0.2	0.1	0.1
RPS4Y2	0.1	1.9	0.1
AMIGO1	0	0.2	0.1
RNF114	97.4	70	70.6
AHSA2	0.7	1.7	1.7
MADD	4	3	4.3
HIVEP1	2.6	4.2	3.9
AMZ2P1	0.7	0.5	0.6
PCDH8	0.1	0	0
GGH	25.8	37.9	31.5
C19orf80	0.2	0.4	0
WDR13	18	11.1	7.8
OR1N1	0.4	0.2	0.7
ACOT4	5.7	6.5	4.9
MXD3	3.5	2.6	2.7
PIF1	13.2	9.7	8.9
SEPT3	0	0.1	0.2
GNPDA2	2.2	4.2	5.7
THG1L	16.3	10.6	6.5
ABHD14B	6.2	11.3	7.4
MAGI3	3	6	6.9
GUF1	24.7	24.3	19
SPINT2	502.6	376.3	460.5
FAM169A	4.7	2.9	4.6
GPC1	4.3	5.4	4.3
LOC101928736	1.7	0.9	0.7
VPS52	17.8	14.6	14.4
UTP6	85.8	105.1	104.2
LOC440434	2.8	3.5	4.1
CCDC69	0.2	0.5	0.3
MFSD1	23.5	31	29.1
PGC	1.1	5.3	26.4
ETNK1	9	9.5	10.6
OTUD3	2.8	3	3.5
ZSCAN32	5	5	6.3
ETFB	95.3	62.1	60.5
PAPOLA	51.6	87.8	172.9
TMEM25	1.9	2	0.9
HNRNPA2B1	231.7	251.6	267.8
ARL2BP	28.2	17.4	14.6
HERC6	0.8	0.3	0
EGFL7	20.9	16.6	18.2
FAM71E1	19.1	13.1	13.8
TRIP6	4.7	14.2	27.4
AKAP3	0.5	0.2	0.2
RUFY1	16.9	13.1	10.5
MXRA7	7.4	4.5	3.2
PKIA	0	0.7	5.1
SYNRG	3.8	3.4	3.2
SNHG16	123.3	126.8	107.4
ADAT2	1.9	3.2	2.4
UFC1	148.4	301.7	386.4
PPP1R14A	805.5	206.9	137.6
NUCKS1	26.4	21.5	12.6
BBS7	4.7	2.8	3.8
CD59	7.3	10.1	10.4
TMEM65	1.9	2.7	0.9
MAK16	28.1	43.7	36.2
CTXN1	0.9	0.6	0.5
THOC3	13.4	7.5	10
LOC403323	0.2	0.7	0.4
KIAA1257	0.7	0.3	0.2
ADAP1	0.9	0.1	0.1
MAPKAPK2	5.2	3.2	2.8
MTMR6	6.6	7	6
PLK3	12.4	4.2	8.6
PSMA8	0.7	0.4	0.3
LEPR	0.6	0.9	2.5
STARD3	13.4	12.2	17.1
USP3-AS1	0.4	1.6	1.2
VARS2	3.6	2.9	2.5
CPZ	0.3	2.3	7
ASB8	10.7	9.9	8.8
ATP2B4	3.5	3.9	4.6
ARPC5	126.8	130.4	148.6
BSG	557.6	424.1	441
C17orf85	7.3	7	7.2
RHBDL1	0.9	1.2	1
LRAT	0.1	0.1	0.1
SPATA22	2	2.2	3
SGPP2	1.9	2.7	0.7
TXLNGY	2.3	2.2	1.3
ACP5	39.7	27	23.8
PIK3CA	1.4	1	0.9
FLII	21.4	15.6	16.8
RAB8A	124.3	120.4	125.7
MCIDAS	0	0.1	0.1
PRPS1	136.9	63.3	42.1
ZNF581	94.6	55.1	46.8
CLPP	134.5	120.1	124.6
PPP5C	23.6	31.4	36.1
COBL	17.1	12.6	8.9
LAMTOR2	308.2	236	213.3
EPS8L1	0.4	0.4	1.2
MIOS	7.8	8.9	7.1
EIF5B	80.1	88.9	89.3
SPACA6P	0.3	0.3	0.2
SKIV2L2	18.9	24.1	23.8
ZNF610	0.6	0.7	1.5
DLGAP1-AS1	1.9	1.3	1.6
OSBPL5	0	0.2	0
AGRN	1.3	1.7	1
APOOP5	1.5	1.3	0.7
PROSER1	22.8	29.7	34.4
C10orf95	2.3	1.1	1.5
WNT2	0.6	0.8	0.2
INSL4	0.4	5.8	7.6
PJA1	2.2	3.8	3.6
DEFB1	0.5	1.3	0.1
SEPN1	3.4	2.2	2.1
OGDHL	0.4	0.9	0.5
RNASEL	0.3	0.6	1.5
PDPR	1.3	2.8	2
RAB43	6.6	1.5	1.2
TARBP1	2.2	1.6	1
ECHDC1	12.3	18.4	24.7
TFR2	0.1	0.1	0.1
CCHCR1	12.1	5.9	5.5
TOMM34	41.7	62.8	75
RBM23	34.5	28.3	28
TMEM181	7.2	10.7	8.1
CLU	0.9	2.3	3
C12orf76	3.6	9.9	4.6
SPDYC	4.8	3.4	4.5
CORO2A	13	15.7	15
CA9	0.5	0	0
KIAA2026	1.8	2.1	1.6
RERGL	0.3	0.1	0.1
BCKDHA	21.7	25	33
TNRC6B	3	3.7	3
PAN3	16	13.4	9.7
UGT8	1	1.2	0.3
NEU1	50.4	43.5	56.1
SLCO2A1	1.6	1.8	3.9
PER1	1.5	3.9	3.4
COX8A	978.7	946.9	976.1
SLC15A4	9	8.2	5.2
ARID3A	13.1	36.6	58.6
ARF5	159.3	137	157.8
CHI3L1	0.6	1.6	0.3
SETDB2	1.1	0.8	0.7
NSUN6	2.6	3.3	3.3
GNG2	0.2	0.1	0.2
APEH	57.8	50.5	37.1
GDE1	72.6	44.3	37.4
BCAS4	1.3	0.6	0.7
PAQR3	5.3	5.9	4.4
TSC22D2	6.3	9.9	11.8
HIST2H2BA	0.2	0.1	0.1
MED31	26	42.8	51.2
KATNBL1	3.5	7	15.9
KATNBL1P6	1.4	3.3	7.4
CAPN13	0.5	0.1	0
SOGA1	0.6	0.8	0.5
FKBP9	1.7	1.6	1.4
RAB12	3.3	3.9	2.6
HPS5	7	4.8	4.7
KIAA0895L	1	1.1	1.3
TULP2	2.7	1.2	0.9
EIF2AK4	12.4	7.4	7.4
SPTB	2.6	0.7	0.8
QARS	181.6	175.5	132.5
TMEM261	79.9	58.8	42.1
CCIN	4.9	3.1	1.8
JKAMP	28.5	43.7	43.9
ZNF578	1.9	1.5	0.9
ZPR1	48.8	52.7	50.8
RAMP1	2.7	1.6	0.2
DUSP4	4.3	1.2	1.3
SIK3	1.8	1.9	2.4
FAM210A	22.6	26.3	19
LOC101927854	0.2	0.4	1.1
PDE7A	2	2.5	2.8
F2RL2	0.7	0.5	0.3
PPP4R1L	0.4	0.2	0.6
CT83	0.1	0.5	0.3
GPR37	1	3.9	3.4
ATG16L2	0.1	0.2	0.6
RPARP-AS1	65.8	45.7	54.4
NT5C2	13.6	22.6	22.5
PFKM	3	6	5.6
CTAGE5	2.4	4.2	4.5
MAGEA4	78	39.6	7.8
TP53INP1	2.4	4	5.6
POMC	63	54.9	19.7
UCK1	19.5	17.4	26.2
UQCR10	611.1	569.9	506.2
ESPL1	9	10.7	9.6
PLEC	13	8	10.8
RGS19	5.3	7.5	8
IFNLR1	0.2	0.3	0.2
FLJ32255	0.2	0	0
CCDC97	12.8	14.4	20.8
GPR3	0.4	0.2	0.4
CALM2	1163.9	1602.7	1304.5
PHLDB3	6.8	4.2	15.6
EPT1	14.8	17.6	14.2
DKK3	0.9	0.3	0.2
PAIP1	25.7	13.9	11.8
PFDN5	393.4	353.1	280
PRAMEF12	0.8	2.3	0.9
SPATA2	6.4	5.2	6.3
DNAJA2	71	86	77.5
GJB5	0.3	0.7	0.4
RAC3	1.4	2.2	5
MAF1	55.9	44.8	62.2
PLEKHB1	1.2	0.1	0.2
CDC42SE1	23.9	26.5	35.5
IQCB1	15.5	18	17.4
JMJD6	83.4	81.9	86.1
ENO3	4.2	10.9	3.6
LOC102060414	0.1	0.1	0.3
HOXC13-AS	1.5	1.2	2.1
SLC16A4	0.7	0.7	0.9
THUMPD2	6.2	8.8	9.3
MAP4K2	3.8	3.3	2.9
AIF1L	146.9	129.6	120.2
MYT1	0.1	0	0
ERICH1-AS1	0.6	0.9	0.6
EMC8	45.6	43.7	49.9
CXCL14	0.1	0.4	0.5
MDN1	7.5	7.5	6.2
BLOC1S1	120.7	105.8	103.4
PRKCA	1.7	1	0.5
POLR1E	26.2	23.6	22.3
C10orf76	4.6	5.1	5.1
PRIM2	9.8	8.7	12.2
TMEM109	60.9	62.5	56.7
CACNA2D3	3.1	1.7	1.5
KIAA1958	1.9	2	1.6
HTR3B	0	0.2	0
CASP7	2.4	1.1	0.8
NPY1R	0.2	0.1	0.1
LMAN2	183.8	145.8	157.2
SWAP70	15.1	12	12.4
NFU1	26.7	28.7	28.5
GLIPR1	0.3	0.9	2.7
PMS2P1	3.9	2	1.6
TMEM54	78.8	50.5	37.2
ENPP1	2.5	2.7	1.4
CNTN6	2.6	1.7	0.1
C11orf68	3.8	2.3	2.6
ATP13A3	12.9	13.6	11.8
ANKS4B	0.2	0.2	0
OSBPL9	17.4	22.7	36.1
GABRR1	0.1	0.2	0.1
AZIN1	57.8	68.4	63.3
MOB3B	25.9	30.8	24.9
SLIT3	0	0	0
ZNF449	1.8	1	0.9
HIST1H2BM	1.8	1.5	2.6
LRRC42	30.8	22.2	19.8
CHMP7	9.2	13.9	19
PHYHIPL	0.3	0.3	0.3
ETS1	0.1	0.4	0.2
FTL	770	1323.9	2551.4
SNAP29	11	9.1	8.7
MARC1	1.2	2.8	5.3
POLQ	2.5	1.8	0.7
SLC1A4	0.2	0.4	0.5
SNORD22	21.8	23.9	22.7
CLMP	0.1	1.3	3.4
HYAL1	2.3	1.6	2.3
FIGNL2	0.4	1.3	3.2
DTNB	13.3	9.6	6
ASPH	7.6	7.8	5.2
ORC5	29.8	26.7	23.4
ZMYM2	4.7	4.7	4.4
TAF11	49.6	77	109.4
CTAG2	2	1.8	3.2
WBSCR22	190.7	164	208.3
PAGR1	18.4	21.2	26.4
NOD1	0.2	0.5	0.9
TRMT10A	6.9	9.1	8.4
ZFAND5	16.5	16.4	18.4
ZBTB46	0.4	0.4	0.4
SLBP	120.9	125.1	93.7
VPS4A	34.2	21.2	17.4
SPON2	0.5	1.4	2.2
ITGAV	0.3	0.6	0.6
UBE3B	16.8	11.4	12.6
SLC25A5	1518.6	1551.7	1126.5
MPDZ	1.5	2.1	1.8
RSU1	15.4	15.4	18.6
CTSB	488	293.6	133.3
MAFG-AS1	0.4	0.7	1
RBP1	5.9	9.3	4.3
RCL1	46.8	51.8	51
ERI1	14.4	18	16
LCLAT1	5.4	4.8	4.4
ALG2	31.6	38.1	41.4
PDS5A	12.3	14.2	10.8
LOC100996455	0.2	0.4	0.7
SLC16A14	0.1	0.1	0
RAB3C	0.1	0.1	0.3
TPCN1	3.5	3.5	2.3
EGFR	0.3	0.4	0.8
BNIP1	20.2	12.7	8.7
ANKRD13B	0.4	0.4	0.7
EDNRB	0.7	2.4	8.2
ANKRD65	0.1	0.3	2.2
SNORA62	14.8	10.9	8.1
CPM	0.1	0.2	2.1
CLK1	32	32.2	38.5
MTHFS.uid_19684	52.8	26.5	39.5
SMPD1	17.9	10.2	4.1
TCEB2	859.1	372	360
BEX2	6.2	18.3	35.6
MBIP	11.3	11.6	13.6
KDELR1	51.1	48.8	56.1
TTC5	12.9	8.9	5.7
NDUFA8	427	322.6	281.1
C11orf31	188.2	105.1	106.3
HNRNPUL1	25.3	23.9	23.6
STXBP3	9.2	12.5	12.6
MTAP	6	12.9	15.4
TMED3	103.2	117.5	102.2
TBPL2	1.3	0.5	0.2
CSGALNACT1	0.6	1.3	1.4
PLK2	4.1	2.9	10.9
THPO	0.2	0.1	0.1
CEP170B	1.5	1.4	2.2
EPS15L1	16	17.3	17
ARID3B	4	6.8	8.7
FANCG	10.4	11.5	16
METTL1	69.7	48.7	44.1
LOC643923	0.6	0.4	0.2
PLD2	8.6	9.5	12.4
PTCH1	0.5	0.4	0.7
TATDN1	4.8	8.2	13
TRIM36	0.2	0.2	0.1
ZYX	48.1	27.9	30.1
TADA2B	5.7	3.7	2.4
B4GALT3	30.6	37.6	44.9
TREX1	2.6	3.8	4.9
LAX1	0	0	0.1
SLC36A2	1.9	1.5	0.9
TERT	2.1	4.4	1.3
MRPS5	176.5	159.7	117
BHLHE22	0.3	0.1	0
HERC2	2.6	1.9	0.8
AP2M1	494.6	299.3	269.4
SAMD1	20.5	13.4	11.9
ETFA	104.6	146.3	164.8
CCDC112	1.1	1.6	1.3
LOC100132735	2.4	2.8	3.7
HSF2	6.5	9.4	10.8
HDGF	59.6	79.1	74.7
CLCN6	4	6.5	6.3
INPPL1	7.6	9.4	9.4
PTPN11	10	11.9	11.2
ZFYVE26	1.3	1.2	1.4
GINS2	213.2	120.3	99.3
FBXW4P1	1.1	1.1	1.3
SSX3	0.6	0.8	0.2
ATG13	14.5	14.8	18.2
PPP1R2P3	1.1	2.1	2.4
MAGEA10	1	1	1.2
EDA2R	2.4	2.6	3.6
SLC36A1	2.2	4.9	4.6
MARCH6	8.7	14.5	12.9
CDC7	10.9	12.9	9.2
ING2	8.7	7.9	7.4
KIF26B	0.1	0	0
LOC101927730	0	0.2	0.5
TRABD2A	0.1	1.2	3
LINC00371	3.8	1.9	0.2
C17orf107	0.1	0.2	0.2
EOMES	0.1	0.1	0.1
FLVCR1-AS1	6.1	3.7	2.9
DDX10	25.1	26	27.6
HNRNPH3	98	86	102.1
DCDC2	2.8	0.6	0.6
PABPC1L	1.4	3.1	4.7
PTENP1-AS	0	0	0
SCRIB	5	4.3	3
KCNE1L	0.1	0.2	0.1
MCCC1	2.4	6.4	6.4
MAP3K8	3.9	6.7	9.3
SYT6	0.1	0	0.2
TGFBR2	0.1	0.9	4.1
C17orf70	9.8	6.6	4.8
LLGL2	34.9	37.6	29.5
PPP4C	109.1	95	104.6
ZNF41	1.1	1.7	1.1
TEKT5	0.5	2.2	1.7
LINC00341	0.2	1.1	0.8
MIR4458HG	0.9	1.4	1.5
SEMA3F	0.7	1.9	1.3
ASB12	0	0.2	0.3
PSD4	0.8	0.5	1
MICAL3	2.2	1.5	2.1
LOC643441	2.1	3.8	3
GOLPH3L	5.7	7.5	6.3
MCCC2	23	35.2	34.6
TSTD1	46.2	30.1	26.4
PYROXD1	2.6	3.2	4.7
PHIP	7.3	6.6	7.7
RTF1	13.5	14.2	15.5
WNK2	0.4	0.5	0.8
ANO9	0.1	0.7	0.6
GAS5	198	186.8	203
YIPF1	29.5	29.9	27.4
CCR3	0.3	0.1	0.1
LPHN3	0.6	0.6	1.7
TLK2	2.8	2.7	2.5
ATP11C	12.4	16.3	11
CA5B	0.5	1.7	1.4
RPS4X	966.5	1180.3	1415.4
MANEAL	2	2.1	2.1
WDR5	68.4	52.2	39.6
RARG	0.9	1.1	0.9
AEN	69.1	56.2	48.1
H3F3A	254.1	252.2	349.1
MCM5	140.7	97.5	93.6
PSEN1	11.6	11.2	16.7
KANSL1L	0.8	1.1	0.9
HEIH	0.4	1.2	3.6
POLM	7	6	6.1
GID4	4	3.4	3.6
NMRK2	38.4	25.2	16.7
SAP30L	1.4	2.5	2.2
PIR	15.2	15.4	16.9
UBXN6	17.8	7.8	7.8
NACC2	1.8	0.7	0.3
LINC01426	0.4	0.4	0.3
CDKN1A	7.4	6.8	20.6
RNF216	12.7	7.9	8
PPP2R2C	0.1	0.1	0
OSER1-AS1	2.1	1.9	3.2
KDM6A	5.3	5.2	6.7
CD274	2.7	5.8	10.5
ACSF3	5.6	5	3.3
SUMO1P1	0.8	0.7	0.2
ARHGEF18	9.1	5.2	5.2
KATNA1	35.6	36.8	42.9
NT5E	0.3	0.2	0.2
FRK	0.3	0.2	0.4
CCDC85C	9.4	10.1	9.5
SEC14L1P1	0.5	0.3	0.3
TM6SF1	0.4	0.1	0
SMOX	94.2	61.1	69.1
GTF3C3	16.2	15.4	11.6
HN1L	50.4	76.1	72.1
BCAR4	8.8	13	60.8
ST6GALNAC2	3.6	3.3	3.1
RASA1	3.1	4.1	5.8
ZIK1	4.8	3.3	3.5
IRF2BPL	4.5	8.9	7.1
ABHD8	0.5	3.5	4.1
PPARG	11.2	21.3	44.3
XKR8	3.8	7.9	13.8
MED1	6.3	10.8	9.7
CYP19A1	0.3	5.7	38.1
MPND	4	2.3	1.2
DGAT1	4.3	4.2	4
HSD17B3	0.8	0.9	0.1
PINLYP	4.4	5	3
PLA2G2A	0.1	0.2	0.2
FGF11	0.1	0.6	1.2
GPATCH11	4.2	4.1	3.3
PTPDC1	0.3	0.3	0.3
OCA2	1.4	0.1	0
SMIM10	0.5	0.7	0.2
CERS6	0.5	0.1	0.1
PDCD11	41.2	38.4	39.9
KIAA1279	13.4	11.1	8.1
CIB1	196.5	100.5	99
OLFM2	0.3	0.1	0.1
LRRC8E	0.2	0.7	0.8
LOC100287036	1.1	0.1	0.2
PREB	48.8	47	50.7
CABIN1	4.3	5.4	6.1
DPP3	12.4	20.7	23
TMTC2	0.4	0.5	0.7
ABHD10	12.7	15.7	10
NPTX2	0.2	0.1	0.1
MARVELD3	7.9	6.1	6.9
CDS2	2.7	5.8	6.3
COX5B	1935.1	1686.2	1457.6
TANK	14.7	23	28
INTS12	21.8	20.1	20.8
SMIM13	5.3	6.4	8.2
GMIP	0.7	1	0.9
HOXC13	4.6	4	3.6
HIST1H4D	2.3	2	2.3
CREB3	49	21.9	20.8
LRP1	4.3	3.1	2.8
MXD4	2.4	1.6	1.1
UHRF2	5	7.5	6.4
SDC1	2.6	6.9	41.7
TANGO2	14.2	13.8	11.6
FRMD3	0.4	0.4	0.3
ZNF287	0.1	0	0.1
GBAS	11.7	12.9	13.4
NIT2	68.2	59.9	50.8
KLHL23	2.9	10.7	13.5
ANKRD46	4.3	4.6	2.4
ZMAT3	4.3	2.5	2.5
ADAP2	1.9	4.5	12
SBSPON	1.1	1.4	2.1
MS4A15	19.8	6.6	3.3
FSTL3	0.8	0.7	0.9
TPD52L1	9.5	27.9	29.8
IDH2	7.6	21.4	23.3
